"Pass []","re(Mode(1)) [g]"
1,6.27625711975846
2,6.32799636496204
3,6.35459892480755
4,6.36352586769307
5,6.36839997602962
6,6.37036267689286
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
