g,alpha,f_res,kappa,cross_to_ground,cross_to_claw,cross_to_cross,claw_to_claw,ground_to_ground,claw_to_ground,cross_length_lom,claw_length,coupling_length,total_length,uid,alpha_ratio,g_ratio
130.1324054160132,-144.07873983474317,6716949714.02,653064.8943800002,-136.72515,-9.0564,-136.72515,124.88586,310.76713,-115.21454,280.0,250.0,500.0,3400.0,system_0,1.0212174680312731,1.0307134362713564
111.84729292403897,-222.23115067445497,9198422527.849998,267594.67464199994,-91.21653,-5.38292,-91.21653,87.87879,223.72845,-81.98676,190.0,150.0,200.0,2700.0,system_1,1.0220431365666078,1.033596454199167
129.89486941538317,-290.8441563426471,6700301083.610001,144246.4909124,-69.9578,-5.1087,-69.9578,80.53424,191.56325,-74.92429,150.0,130.0,230.0,3900.0,system_2,0.9706901154299861,0.9491194988620787
85.74176182829463,-210.0482487541555,5353549772.64,161106.5984292,-96.15117,-5.72667,-96.15117,91.56056,232.64043,-85.27078,200.0,160.0,350.0,4700.0,system_3,1.025229904764127,0.9926052036651495
21.996392272873084,-144.0454219266556,9441388629.76,205508.75574999998,-143.52229,-2.29173,-143.52229,58.45243,258.69919,-55.90335,280.0,70.0,200.0,2700.0,system_4,1.0558933290025463,0.9216435079817877
